cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms	neurotransmitter_accession	neurotransmitter_rationale	neurotransmitter_marker_gene_evidence	original_label	cell_set_designation	cell_set_alias	cell_set_structure	cell_set_ontology_tag	cell_set_alias_assignee	taxonomy_id
CS202106160_278	278_L6 CT CTX	278_L6 CT CTX	CS202106160_548	L6 CT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						278_L6 CT CTX	CTX-HPF 278	278_L6 CT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_378	378_Astro	378_Astro	subclass_label:ae2c9ed8f1	Astro	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						378_Astro	CTX-HPF 378	378_Astro	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_131	131_L2/3 IT POST-PRE	131_L2/3 IT POST-PRE	subclass_label:5d7a3b937f	L2/3 IT PPP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						131_L2/3 IT POST-PRE	CTX-HPF 131	131_L2/3 IT POST-PRE	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_351	351_CA3-ve	351_CA3-ve	CS202106160_578	CA3	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						351_CA3-ve	CTX-HPF 351	351_CA3-ve	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_342	342_CA1	342_CA1	subclass_label:5c6ec72876	CA1-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						342_CA1	CTX-HPF 342	342_CA1	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_340	340_CA1	340_CA1	subclass_label:5c6ec72876	CA1-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						340_CA1	CTX-HPF 340	340_CA1	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_140	140_L3 IT ENTl	140_L3 IT ENTl	CS202106160_480	L3 IT ENT	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						140_L3 IT ENTl	CTX-HPF 140	140_L3 IT ENTl	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_51	51_Vip	51_Vip	subclass_label:a547e761cb	Vip	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						51_Vip	CTX-HPF 051	51_Vip	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_156	156_L2/3 IT ENTl	156_L2/3 IT ENTl	subclass_label:9c706e279e	L2/3 IT ENTl	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						156_L2/3 IT ENTl	CTX-HPF 156	156_L2/3 IT ENTl	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_202	202_L5 IT CTX	202_L5 IT CTX	subclass_label:d88cf82cba	L5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						202_L5 IT CTX	CTX-HPF 202	202_L5 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_95	95_Sst	95_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						95_Sst	CTX-HPF 095	95_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_233	233_L6 IT ENTl	233_L6 IT ENTl	subclass_label:7ec93c83f4	L6 IT ENTl	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						233_L6 IT ENTl	CTX-HPF 233	233_L6 IT ENTl	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_170	170_L2/3 IT CTX	170_L2/3 IT CTX	CS202106160_494	L2/3 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						170_L2/3 IT CTX	CTX-HPF 170	170_L2/3 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_168	168_L2/3 IT CTX	168_L2/3 IT CTX	CS202106160_494	L2/3 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						168_L2/3 IT CTX	CTX-HPF 168	168_L2/3 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_191	191_L4/5 IT CTX	191_L4/5 IT CTX	subclass_label:40ec201664	L4/5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						191_L4/5 IT CTX	CTX-HPF 191	191_L4/5 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_144	144_L2/3 IT PAR	144_L2/3 IT PAR	subclass_label:5d7a3b937f	L2/3 IT PPP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						144_L2/3 IT PAR	CTX-HPF 144	144_L2/3 IT PAR	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_54	54_Vip HPF	54_Vip HPF	subclass_label:a547e761cb	Vip	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						54_Vip HPF	CTX-HPF 054	54_Vip HPF	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_280	280_L6 CT CTX	280_L6 CT CTX	CS202106160_548	L6 CT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						280_L6 CT CTX	CTX-HPF 280	280_L6 CT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_264	264_L5/6 NP CTX	264_L5/6 NP CTX	CS202106160_538	L5/6 NP CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						264_L5/6 NP CTX	CTX-HPF 264	264_L5/6 NP CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
